iata,icao,name,city,country,lat,lon,elev_m,tz
AAA,NTGA,Anaa Airport,Anaa,PF,-17.35260,-145.51000,3,Pacific/Tahiti
AAC,HEAR,El Arish International Airport,El Arish,EG,31.05532,33.82796,36,Africa/Cairo
AAE,DABB,Annaba Rabah Bitat Airport,Annaba,DZ,36.82678,7.81334,5,Africa/Algiers
AAL,EKYT,Aalborg Airport,Aalborg,DK,57.09476,9.84993,3,Europe/Copenhagen
AAN,OMAL,Al Ain International Airport,Al Ain,AE,24.26170,55.60920,265,Asia/Dubai
AAP,WALS,Aji Pangeran Tumenggung Pranoto International Airport,Samarinda,ID,-0.37448,117.25013,25,Asia/Makassar
AAR,EKAH,Aarhus Airport,Aarhus,DK,56.30333,10.61829,25,Europe/Copenhagen
AAT,ZWAT,Altay Xuedu Airport,Altay,CN,47.74989,88.08581,750,Asia/Urumqi
AAX,SBAX,Romeu Zema Airport,Araxá,BR,-19.56320,-46.96040,999,America/Sao_Paulo
AAY,OYGD,Al Ghaydah International Airport,Al Ghaydah,YE,16.19334,52.17419,41,Asia/Aden
ABA,UNAA,Abakan International Airport,Abakan,RU,53.74000,91.38500,253,Asia/Krasnoyarsk
ABB,DNAS,Asaba International Airport,Asaba,NG,6.20417,6.66528,93,Africa/Lagos
ABD,OIAA,Abadan Ayatollah Jami International Airport,Abadan,IR,30.36789,48.23007,3,Asia/Tehran
ABE,KABE,Lehigh Valley International Airport,Allentown/Bethlehem,US,40.65177,-75.44280,120,America/New_York
ABI,KABI,Abilene Regional Airport,Abilene,US,32.41130,-99.68190,546,America/Chicago
ABJ,DIAP,Félix-Houphouët-Boigny International Airport,Abidjan,CI,5.26139,-3.92629,6,Africa/Abidjan
ABK,HAKD,Kebri Dahar Airport,Kebri Dahar,ET,6.73258,44.24134,549,Africa/Addis_Ababa
ABL,PAFM,Ambler Airport,Ambler,US,67.10553,-157.85534,102,America/Anchorage
ABQ,KABQ,Albuquerque International Sunport,Albuquerque,US,35.03998,-106.60892,1632,America/Denver
ABR,KABR,Aberdeen Regional Airport,Aberdeen,US,45.44910,-98.42180,397,America/Chicago
ABS,HEBL,Abu Simbel Airport,Abu Simbel,EG,22.37592,31.61173,187,Africa/Cairo
ABT,OEBA,King Saud Bin Abdulaziz (Al Baha) Airport,Al-Baha,SA,20.29851,41.63615,1672,Asia/Riyadh
ABV,DNAA,Nnamdi Azikiwe International Airport,Abuja,NG,9.00679,7.26317,342,Africa/Lagos
ABX,YMAY,Albury Airport,East Albury,AU,-36.06676,146.95915,164,Australia/Sydney
ABY,KABY,Southwest Georgia Regional Airport,Albany,US,31.53295,-84.19621,60,America/New_York
ABZ,EGPD,Aberdeen International Airport,Aberdeen,GB,57.20190,-2.19778,66,Europe/London
ACA,MMAA,General Juan N. Álvarez International Airport,Acapulco,MX,16.75713,-99.75311,5,America/Mexico_City
ACC,DGAA,Kotoka International Airport,Accra,GH,5.60519,-0.16679,62,Africa/Accra
ACE,GCRR,César Manrique-Lanzarote Airport,San Bartolomé,ES,28.94550,-13.60520,14,Atlantic/Canary
ACH,LSZR,Sankt Gallen Altenrhein Airport,St. Gallen,CH,47.48500,9.56077,398,Europe/Zurich
ACI,EGJA,Alderney Airport,Saint Anne,GG,49.70610,-2.21472,88,Europe/Guernsey
ACK,KACK,Nantucket Memorial Airport,Nantucket,US,41.25310,-70.06020,14,America/New_York
ACT,KACT,Waco Regional Airport,Waco,US,31.61130,-97.23050,157,America/Chicago
ACV,KACV,California Redwood Coast-Humboldt County Airport,Arcata/Eureka,US,40.97810,-124.10900,67,America/Los_Angeles
ACX,ZUYI,Xingyi Wanfenglin Airport,Xingyi,CN,25.08342,104.96080,1265,Asia/Shanghai
ACY,KACY,Atlantic City International Airport,Atlantic City,US,39.45620,-74.57751,23,America/New_York
ADB,LTBJ,Adnan Menderes International Airport,Gaziemir,TR,38.29240,27.15700,126,Europe/Istanbul
ADD,HAAB,Addis Ababa Bole International Airport,Addis Ababa,ET,8.97789,38.79930,2326,Africa/Addis_Ababa
ADE,OYAA,Aden International Airport,Aden,YE,12.82956,45.02998,2,Asia/Aden
ADF,LTCP,Adıyaman Airport,Adıyaman,TR,37.73140,38.46890,675,Europe/Istanbul
ADJ,OJAM,Marka International (Amman Civil) Airport,Amman,JO,31.97270,35.99160,779,Asia/Amman
ADK,PADK,Adak Airport,Adak,US,51.88356,-176.64278,5,America/Adak
ADL,YPAD,Adelaide International Airport,Adelaide,AU,-34.94751,138.53339,6,Australia/Adelaide
ADQ,PADQ,Kodiak Airport,Kodiak,US,57.75000,-152.49400,24,America/Anchorage
ADU,OITL,Ardabil Airport,Ardabil,IR,38.32570,48.42440,1315,Asia/Tehran
ADZ,SKSP,Gustavo Rojas Pinilla International Airport,San Andrés,CO,12.58360,-81.71120,6,America/Bogota
AEB,ZGBS,Baise (Bose) Bama Airport,Baise (Tianyang),CN,23.72060,106.96000,149,Asia/Shanghai
AEP,SABE,Aeroparque Jorge Newbery,Buenos Aires,AR,-34.55942,-58.41554,5,America/Argentina/Buenos_Aires
AER,URSS,Sochi International Airport,Sochi,RU,43.44990,39.95660,27,Europe/Moscow
AES,ENAL,Ålesund Airport,Ålesund,NO,62.56044,6.11085,21,Europe/Oslo
AEU,OIBA,Abu Musa Island Airport,Abu Musa,IR,25.87570,55.03300,7,Asia/Tehran
AEX,KAEX,Alexandria International Airport,Alexandria,US,31.32583,-92.54670,27,America/Chicago
AEY,BIAR,Akureyri International Airport,Akureyri,IS,65.65657,-18.07202,2,Atlantic/Reykjavik
AFA,SAMR,Suboficial Ay Santiago Germano Airport,San Rafael,AR,-34.58830,-68.40390,753,America/Argentina/Mendoza
AFL,SBAT,Piloto Osvaldo Marques Dias Airport,Alta Floresta,BR,-9.86639,-56.10630,289,America/Cuiaba
AFZ,OIMS,Sabzevar National Airport,Sabzevar,IR,36.16810,57.59520,917,Asia/Tehran
